Date,Open,High,Low,Close,Volume
7/8/2022 15:30:00,1209,1209,1191.28,1195.7,8773162
7/11/2022 15:30:00,1188.25,1214.4,1185,1211.95,6390604
7/12/2022 15:30:00,1202,1219.85,1202,1210.22,4974502
7/13/2022 15:30:00,1213.65,1217,1186.5,1188.78,6564435
7/14/2022 15:30:00,1194,1216.97,1188.47,1198.58,7831798
7/15/2022 15:30:00,1207.5,1207.5,1191.55,1200.9,4431880
7/18/2022 15:30:00,1210.5,1212.5,1196.15,1211.13,6996757
7/19/2022 15:30:00,1200.15,1223.5,1200.15,1218.55,7587006
7/20/2022 15:30:00,1270,1271.25,1243.13,1251.5,11041036
7/21/2022 15:30:00,1247,1250,1233.65,1243.15,7625468
7/22/2022 15:30:00,1250,1258.15,1247.5,1251.55,5062651
7/25/2022 15:30:00,1233.72,1233.72,1201.5,1210.2,10665470
7/26/2022 15:30:00,1210.55,1221.95,1205.68,1210.75,5216466
7/27/2022 15:30:00,1209.97,1213.5,1201,1209.6,3994321
7/28/2022 15:30:00,1218,1233.97,1210.5,1228.55,5766936
7/29/2022 15:30:00,1237.35,1258.55,1232,1254.72,6982808
8/1/2022 15:30:00,1259.58,1293.88,1253.8,1287.43,7245568
8/2/2022 15:30:00,1286.25,1303.9,1280.78,1292.33,6423115
8/3/2022 15:30:00,1300,1305,1283.72,1303.18,6576824
8/4/2022 15:30:00,1305,1308.88,1267.5,1285.95,6676577
8/5/2022 15:30:00,1288,1289.4,1263.47,1267,6434433
8/8/2022 15:30:00,1265.5,1291.78,1265.5,1283.58,4691228
8/10/2022 15:30:00,1288.45,1294.95,1278.53,1291.25,4949442
8/11/2022 15:30:00,1301.55,1304.95,1290.1,1295.55,3783480
8/12/2022 15:30:00,1295.15,1320.68,1291.1,1316.5,5838244
8/16/2022 15:30:00,1323.1,1328.65,1313.65,1325.65,3049304
8/17/2022 15:30:00,1332.5,1338.45,1327.78,1332.58,3044037
8/18/2022 15:30:00,1330,1334.5,1320.1,1330.65,3419730
8/19/2022 15:30:00,1325,1330.85,1302.47,1306.93,4366123
8/22/2022 15:30:00,1308.5,1315.65,1293,1303.3,4371179
8/23/2022 15:30:00,1297,1326.6,1295.68,1323.4,4466619
8/24/2022 15:30:00,1320.05,1335,1317.68,1319.88,4785579
8/25/2022 15:30:00,1324.48,1331.45,1311.3,1316.03,3632902
8/26/2022 15:30:00,1316.5,1325,1303.5,1309,4957449
8/29/2022 15:30:00,1292.5,1327.5,1289.03,1298.83,9155684
8/30/2022 15:30:00,1307,1322.63,1288.3,1318.98,10678670
9/1/2022 15:30:00,1291.33,1302.47,1275.35,1280.2,9188434
9/2/2022 15:30:00,1280.2,1287.68,1262.85,1265.25,5999196
9/5/2022 15:30:00,1265.5,1290.75,1265.5,1284.9,5227785
9/6/2022 15:30:00,1286.5,1303,1286,1298.43,5030172
9/7/2022 15:30:00,1287.5,1297.45,1285,1290.88,3455942
9/8/2022 15:30:00,1294.13,1299,1285.5,1292.7,3256840
9/9/2022 15:30:00,1305,1305,1282,1284.65,3837302
9/12/2022 15:30:00,1285.28,1306,1285.28,1299.03,3431445
9/13/2022 15:30:00,1309,1314.85,1300.5,1309.88,4102114
9/14/2022 15:30:00,1287.5,1305,1286.38,1294.18,4004997
9/15/2022 15:30:00,1291.5,1301.78,1278.38,1281.35,4783723
9/16/2022 15:30:00,1271.88,1276.5,1245.5,1249.6,9330469
9/19/2022 15:30:00,1249.6,1261.35,1240.68,1251.22,3498286
9/20/2022 15:30:00,1261.22,1268.85,1247.35,1251.43,3881882
9/21/2022 15:30:00,1248.38,1266.5,1247.5,1254.88,4249172
9/22/2022 15:30:00,1243,1251.5,1236.05,1243.05,4757219
9/23/2022 15:30:00,1242.5,1247.97,1218.05,1219.75,4397194
9/26/2022 15:30:00,1197.03,1208.9,1187.58,1188.68,5759298
9/27/2022 15:30:00,1197,1213,1180.05,1198.13,7455448
9/28/2022 15:30:00,1180.18,1189,1163.55,1166.22,7844140
9/29/2022 15:30:00,1180,1183.75,1156.5,1162.65,6771046
9/30/2022 15:30:00,1155.5,1201,1155.5,1188.88,8589908
10/3/2022 15:30:00,1195.75,1208.47,1181.5,1184.75,5470030
10/4/2022 15:30:00,1198.9,1209,1195.08,1206.6,4129893
10/6/2022 15:30:00,1214.5,1225,1209.08,1211.05,6162021
10/7/2022 15:30:00,1207.33,1221.95,1207.33,1216.18,3560167
10/10/2022 15:30:00,1202.5,1208.8,1194,1202.9,2921076
10/11/2022 15:30:00,1207,1207,1175.55,1178.95,4252803
10/12/2022 15:30:00,1176,1190.85,1171.55,1187.63,3422992
10/13/2022 15:30:00,1185.7,1197,1180.05,1191.4,3382098
10/14/2022 15:30:00,1207.5,1208.18,1184.55,1185.35,4202459
10/17/2022 15:30:00,1177.5,1207,1171.8,1204.38,7720595
10/18/2022 15:30:00,1211,1231.5,1210.08,1225.63,5729899
10/19/2022 15:30:00,1227.25,1263.93,1220.85,1246.95,8882553
10/20/2022 15:30:00,1242.5,1259.5,1242.5,1250.3,4022919
10/21/2022 15:30:00,1253.85,1258.4,1233.5,1235.8,3804352
10/25/2022 15:30:00,1249.5,1249.5,1219,1220.78,5645639
10/27/2022 15:30:00,1229,1234.22,1216.4,1225.58,5774775
10/28/2022 15:30:00,1232.5,1267.5,1229.72,1263.08,8126824
10/31/2022 15:30:00,1270.5,1280.47,1266.1,1274.8,5731802
11/1/2022 15:30:00,1300,1300,1254,1264.93,6443999
11/2/2022 15:30:00,1266.15,1275.1,1257.5,1272.83,4145144
11/3/2022 15:30:00,1264.93,1279.78,1262.53,1277.58,3089026
11/4/2022 15:30:00,1276.95,1300,1275.55,1296.38,5803737
11/7/2022 15:30:00,1295.5,1305.15,1287,1303.3,5440967
11/9/2022 15:30:00,1305.15,1310.98,1295.03,1302,5193814
11/10/2022 15:30:00,1295,1298.28,1281.5,1286.25,2753420
11/11/2022 15:30:00,1300,1318,1294,1315.9,5681124
11/14/2022 15:30:00,1315.38,1321,1302.58,1309.53,4173395
11/15/2022 15:30:00,1311.15,1313.2,1295,1303.65,3270388
11/16/2022 15:30:00,1305,1307.97,1290.68,1296.18,4484007
11/17/2022 15:30:00,1292.47,1306.5,1290,1299.53,3074259
11/18/2022 15:30:00,1303.38,1304.5,1285.55,1298.83,2447425
11/21/2022 15:30:00,1294,1294,1271.55,1275.45,2949108
11/22/2022 15:30:00,1272.5,1284.25,1268.25,1282.53,3051201
11/23/2022 15:30:00,1287.5,1288.95,1276.13,1278.53,2959787
11/24/2022 15:30:00,1283,1297,1274.1,1289.55,4333225
11/25/2022 15:30:00,1294.5,1312.45,1291.05,1308.8,3391988
11/28/2022 15:30:00,1304.45,1360.53,1251,1353.78,14549929
11/29/2022 15:30:00,1351.98,1365.83,1347,1356.1,5103687
11/30/2022 15:30:00,1356.25,1372.73,1349.1,1365.68,12075137
12/1/2022 15:30:00,1370.9,1377.5,1358,1361.65,4377696
12/2/2022 15:30:00,1365,1374,1350.3,1361.08,5348595
12/5/2022 15:30:00,1356,1358.38,1339,1341.23,6843367
12/6/2022 15:30:00,1332.55,1348.5,1330.5,1345.1,3966243
12/7/2022 15:30:00,1342.5,1347.5,1321.08,1325.25,3905263
12/8/2022 15:30:00,1330,1332.5,1320.05,1324.63,3579858
12/9/2022 15:30:00,1323,1330,1300.93,1304.55,5840633
12/12/2022 15:30:00,1292.75,1311.5,1292.5,1306.55,4374946
12/13/2022 15:30:00,1306.55,1316.5,1303.35,1312.5,3845839
12/14/2022 15:30:00,1318.83,1319.48,1305.5,1307.75,3354618
12/15/2022 15:30:00,1301.25,1307.5,1285.5,1289.18,4009765
12/16/2022 15:30:00,1285.5,1309.4,1279.08,1282.8,7308934
12/19/2022 15:30:00,1290.5,1302,1283.35,1299.65,3567363
12/20/2022 15:30:00,1291.95,1313,1283,1310.9,3446291
12/21/2022 15:30:00,1310.5,1316.5,1288.05,1292.25,3935463
12/22/2022 15:30:00,1299,1302.33,1283.38,1288.9,3438692
12/23/2022 15:30:00,1281.65,1295.25,1246.13,1251.1,4733657
12/26/2022 15:30:00,1257.38,1271,1246.2,1262.03,2764496
12/27/2022 15:30:00,1265,1274.4,1257.63,1272.35,2659749
12/28/2022 15:30:00,1269,1274.9,1260.75,1272.22,3442509
12/29/2022 15:30:00,1263.5,1274.45,1262.75,1271.65,3198493
12/30/2022 15:30:00,1272.55,1288.5,1270.55,1273.6,3364092
1/2/2023 15:30:00,1275,1289.5,1274.1,1287.95,2453414
1/3/2023 15:30:00,1282.53,1286.5,1273.9,1278.53,3534596
1/4/2023 15:30:00,1278.5,1280.53,1257,1259.28,4275746
1/5/2023 15:30:00,1261.75,1268.2,1252,1257.03,6293519
1/6/2023 15:30:00,1263.33,1273.97,1259.15,1268.45,2930338
1/9/2023 15:30:00,1272.65,1301,1271.68,1298.4,4948549
